Course Code,Department,Course Name,Study Hours per Week,Average GPA Received,Average Letter Grade Received
BIEB 166,BIEB,Animal Behavior&Communication,4.911428571428572,3.025,B (3.0)
BIEB 167,BIEB,Animal Communication Lab,4.793333333333334,3.606666666666667,B+ (3.3)
BIEB 174,BIEB,Ecosystems and Global Change,5.586,3.1719999999999997,B (3.0)
BIEB 176,BIEB,Bio of Conservation/Human Pred,5.32,3.51,B+ (3.3)
BIEB 176,BIEB,Conservation&Human Predicament,5.099375,2.857142857142857,B- (2.7)
BIEB 182,BIEB,Biology of Global Change,3.665,3.16,B (3.0)
BILD 1,BILD,The Cell,5.733067484662577,2.9840909090909093,B- (2.7)
BILD 10,BILD,Fundamental Concepts/Modrn Bio,4.595862068965517,3.1512000000000002,B (3.0)
BILD 12,BILD,Neurobiology and Behavior,4.398823529411764,3.14,B (3.0)
BILD 18,BILD,Human Impact on the Environmnt,3.9145833333333333,3.4090000000000003,B+ (3.3)
BILD 2,BILD,Multicellular Life,6.160225563909774,3.0491338582677168,B (3.0)
BILD 20,BILD,Human Genetics/Modern Society,4.3566666666666665,3.2223076923076923,B (3.0)
BILD 22,BILD,Human Nutrition,3.511875,3.4675000000000002,B+ (3.3)
BILD 24,BILD,Biology of Human Reproduction,5.074999999999999,2.84,B- (2.7)
BILD 26,BILD,Human Physiology,4.758181818181819,2.744545454545454,B- (2.7)
BILD 28,BILD,Immunology/Vaccines,4.795,2.825,B- (2.7)
